Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/engine.mtx,1,1,0.678114,0.841131,0.136992,0.766851,0.000578665,0.904422,0.536215
matrices/engine.mtx,1,1,0.676958,0.85834,0.135167,0.763806,1.938e-05,0.898993,0.539453
matrices/engine.mtx,1,1,0.675698,0.89124,0.137085,0.769361,2.0278e-05,0.906466,0.535005
matrices/engine.mtx,1,1,0.677549,0.865445,0.136065,0.764296,2.897e-05,0.900389,0.538616
matrices/engine.mtx,1,1,0.67519,0.892127,0.135576,0.766662,2.0207e-05,0.902258,0.537501
matrices/engine.mtx,2,1,0.361568,0.22813,0.0644939,0.189947,-0.000253284,0.254187,1.9079
matrices/engine.mtx,2,1,0.355963,0.225519,0.0661638,0.189459,-0.000820858,0.254802,1.9033
matrices/engine.mtx,2,1,0.355225,0.222957,0.0645072,0.189884,-0.00040957,0.253981,1.90945
matrices/engine.mtx,2,1,0.360889,0.228022,0.0646783,0.18942,-0.000792953,0.253305,1.91455
matrices/engine.mtx,2,1,0.35655,0.224973,0.0646831,0.189711,-0.00115107,0.253243,1.91501
matrices/engine.mtx,4,1,0.214014,0.0884085,0.0593489,0.0509656,-0.00290729,0.107407,4.5152
matrices/engine.mtx,4,1,0.210576,0.0747627,0.0585334,0.0527663,-0.00480759,0.106492,4.55399
matrices/engine.mtx,4,1,0.21238,0.0731187,0.0596024,0.0520306,-0.00315739,0.108476,4.47072
matrices/engine.mtx,4,1,0.214959,0.0765036,0.0597279,0.0509849,-0.00312753,0.107585,4.50772
matrices/engine.mtx,4,1,0.215253,0.0744655,0.0589909,0.0510644,-0.00317907,0.106876,4.53762
matrices/engine.mtx,8,1,0.12704,0.045081,0.039227,0.0140723,-0.00171721,0.0515822,9.40179
matrices/engine.mtx,8,1,0.128694,0.0445061,0.0391662,0.0140788,-0.00171675,0.0515283,9.41161
matrices/engine.mtx,8,1,0.125664,0.0438179,0.0392836,0.0140751,-0.00173128,0.0516275,9.39353
matrices/engine.mtx,8,1,0.12478,0.0443055,0.0390986,0.0140477,-0.00167292,0.0514734,9.42165
matrices/engine.mtx,8,1,0.124929,0.04417,0.039239,0.0142054,-0.00182178,0.0516227,9.3944
matrices/engine.mtx,16,1,0.0836781,0.0339109,0.0259897,0.00435637,-0.00102623,0.0293199,16.5405
matrices/engine.mtx,16,1,0.0844472,0.0351679,0.025914,0.00437595,-0.00106356,0.0292264,16.5934
matrices/engine.mtx,16,1,0.0830442,0.0351783,0.026213,0.0043557,-0.0010405,0.0295283,16.4237
matrices/engine.mtx,16,1,0.0829885,0.0349493,0.0260423,0.00435767,-0.00104836,0.0293516,16.5226
matrices/engine.mtx,16,1,0.0866118,0.0348386,0.0260996,0.00437483,-0.00105092,0.0294235,16.4822
matrices/engine.mtx,32,1,0.0898382,0.0653009,0.192915,0.00124987,-0.000279481,0.193885,2.5013
matrices/engine.mtx,32,1,0.0730365,0.049737,0.193462,0.00123777,-0.000307938,0.194391,2.49478
matrices/engine.mtx,32,1,0.0733588,0.0456024,0.19448,0.00121657,-0.000228549,0.195468,2.48104
matrices/engine.mtx,32,1,0.0675834,0.0426421,0.193769,0.00123056,-0.000242285,0.194757,2.4901
matrices/engine.mtx,32,1,0.0702102,0.0443617,0.192819,0.00121123,-0.000233597,0.193796,2.50244
matrices/engine.mtx,64,1,0.0599168,0.0438111,0.165281,0.000604153,-0.000270765,0.165614,2.92828
matrices/engine.mtx,64,1,0.0593796,0.0434531,0.165541,0.000588958,-0.000226119,0.165904,2.92316
matrices/engine.mtx,64,1,0.0672525,0.0415466,0.16589,0.000592215,-0.000181717,0.166301,2.91619
matrices/engine.mtx,64,1,0.0620922,0.0417896,0.166907,0.000600857,-0.000248138,0.16726,2.89947
matrices/engine.mtx,64,1,0.0579938,0.0429574,0.167367,0.000577478,-0.00021261,0.167732,2.89131
matrices/engine.mtx,128,1,0.0553191,0.0471224,0.198927,0.00026432,-2.0388e-05,0.19917,2.43492
matrices/engine.mtx,128,1,0.0535909,0.0446425,0.19854,0.000272487,-6.7289e-05,0.198745,2.44013
matrices/engine.mtx,128,1,0.0578568,0.0490116,0.201539,0.000251262,-4.7654e-05,0.201743,2.40388
matrices/engine.mtx,128,1,0.0539668,0.0452655,0.209404,0.000271007,-5.7958e-05,0.209617,2.31357
matrices/engine.mtx,128,1,0.0570493,0.0487504,0.199153,0.000376662,-0.000123563,0.199406,2.43204
matrices/GL7d17.mtx,1,1,7.74589,12.2137,1.74748,15.9194,5.2292e-05,17.667,0.294087
matrices/GL7d17.mtx,1,1,7.74695,12.7553,1.7671,15.9319,5.7117e-05,17.6991,0.293553
matrices/GL7d17.mtx,1,1,7.74361,12.2029,1.74543,15.124,3.9857e-05,16.8694,0.30799
matrices/GL7d17.mtx,1,1,7.73898,12.212,1.74665,15.8345,5.3692e-05,17.5812,0.295521
matrices/GL7d17.mtx,1,1,7.76462,12.15,1.75168,15.258,5.7989e-05,17.0097,0.30545
matrices/GL7d17.mtx,2,1,4.06724,3.04586,1.86409,5.27069,-0.955679,6.1791,0.840838
matrices/GL7d17.mtx,2,1,4.09947,2.96835,1.15558,4.40158,-0.179054,5.3781,0.966069
matrices/GL7d17.mtx,2,1,4.06424,2.98507,1.20506,4.43558,-0.229293,5.41135,0.960133
matrices/GL7d17.mtx,2,1,4.06744,3.00402,1.18041,4.4985,-0.201015,5.4779,0.94847
matrices/GL7d17.mtx,2,1,4.07136,3.01287,1.18353,4.48615,-0.203664,5.46602,0.950531
matrices/GL7d17.mtx,4,1,2.37231,1.03406,1.39872,1.28785,-0.251923,2.43465,2.13403
matrices/GL7d17.mtx,4,1,2.36518,0.983162,1.32459,1.25599,-0.222037,2.35855,2.20289
matrices/GL7d17.mtx,4,1,2.35906,1.02147,1.31544,1.24579,-0.192446,2.36878,2.19337
matrices/GL7d17.mtx,4,1,2.36574,1.06049,1.32452,1.26795,-0.21951,2.37296,2.18951
matrices/GL7d17.mtx,4,1,2.37204,1.02999,1.31192,1.25189,-0.209316,2.3545,2.20667
matrices/GL7d17.mtx,8,1,1.40632,0.556411,0.70353,0.356849,-0.141458,0.918921,5.65405
matrices/GL7d17.mtx,8,1,1.40859,0.554693,0.705642,0.360951,-0.143117,0.923476,5.62615
matrices/GL7d17.mtx,8,1,1.40761,0.551642,0.703323,0.358513,-0.14109,0.920746,5.64284
matrices/GL7d17.mtx,8,1,1.40873,0.555249,0.69849,0.353538,-0.137922,0.914106,5.68383
matrices/GL7d17.mtx,8,1,1.46346,0.580507,0.704065,0.357389,-0.139557,0.921897,5.63579
matrices/GL7d17.mtx,16,1,0.934166,0.401934,0.639316,0.14076,-0.0548991,0.725177,7.16462
matrices/GL7d17.mtx,16,1,0.938049,0.404695,0.636557,0.14266,-0.0569299,0.722287,7.19329
matrices/GL7d17.mtx,16,1,0.921783,0.397765,0.651181,0.142502,-0.0576898,0.735993,7.05933
matrices/GL7d17.mtx,16,1,0.927229,0.39841,0.644269,0.142085,-0.0560571,0.730297,7.11439
matrices/GL7d17.mtx,16,1,0.927268,0.398295,0.64724,0.14147,-0.0565495,0.732161,7.09628
matrices/GL7d17.mtx,32,1,0.74712,0.473389,1.42132,0.0343649,-0.0172056,1.43848,3.61188
matrices/GL7d17.mtx,32,1,0.74452,0.4715,1.41189,0.0349336,-0.0173023,1.42952,3.63451
matrices/GL7d17.mtx,32,1,0.745269,0.464061,1.42062,0.0340321,-0.0170863,1.43756,3.61419
matrices/GL7d17.mtx,32,1,0.732892,0.460519,1.4285,0.0342601,-0.0167277,1.44603,3.59303
matrices/GL7d17.mtx,32,1,0.733485,0.459274,1.43816,0.0338366,-0.0165807,1.45542,3.56984
matrices/GL7d17.mtx,64,1,0.70747,0.54755,1.86622,0.00998577,-0.00446302,1.87174,2.77582
matrices/GL7d17.mtx,64,1,0.625367,0.458639,1.64213,0.00995018,-0.00423142,1.64784,3.15298
matrices/GL7d17.mtx,64,1,0.620604,0.454157,1.67313,0.0100696,-0.00448119,1.67872,3.095
matrices/GL7d17.mtx,64,1,0.620098,0.45324,1.65447,0.0101841,-0.00473538,1.65992,3.13005
matrices/GL7d17.mtx,64,1,0.622526,0.455396,1.45852,0.00996556,-0.00474609,1.46374,3.54955
matrices/GL7d17.mtx,128,1,0.56861,0.485498,1.22813,0.00253949,-0.000913201,1.22975,4.22493
matrices/GL7d17.mtx,128,1,0.569341,0.484955,1.23784,0.00248489,-0.000969868,1.23936,4.19219
matrices/GL7d17.mtx,128,1,0.5664,0.482875,1.2394,0.00250071,-0.000977199,1.24092,4.1869
matrices/GL7d17.mtx,128,1,0.567241,0.484494,1.21943,0.00249991,-0.000878389,1.22105,4.25505
matrices/GL7d17.mtx,128,1,0.567345,0.483766,1.22753,0.00248243,-0.00096436,1.22905,4.22735
matrices/GL7d21.mtx,1,1,5.48879,7.90305,1.05645,10.9633,3.8351e-05,12.0198,0.302415
matrices/GL7d21.mtx,1,1,5.48722,7.84887,1.06077,10.59,4.7476e-05,11.6508,0.311991
matrices/GL7d21.mtx,1,1,5.48824,7.88269,1.04863,10.3777,3.8538e-05,11.4264,0.31812
matrices/GL7d21.mtx,1,1,5.48764,7.88535,1.0579,10.4677,3.9424e-05,11.5256,0.315381
matrices/GL7d21.mtx,1,1,5.48904,7.85651,1.06072,10.6851,5.5113e-05,11.7458,0.309467
matrices/GL7d21.mtx,2,1,2.84747,1.97522,0.938762,3.09962,-0.210369,3.82802,0.949566
matrices/GL7d21.mtx,2,1,2.8438,1.94719,0.72072,2.96315,-0.0295526,3.65431,0.994702
matrices/GL7d21.mtx,2,1,2.83728,1.91671,0.830543,2.93226,-0.107321,3.65548,0.994385
matrices/GL7d21.mtx,2,1,2.84143,1.95614,0.729771,2.95801,-0.0478569,3.63993,0.998634
matrices/GL7d21.mtx,2,1,2.83671,1.94849,0.84191,3.11397,-0.117742,3.83814,0.947062
matrices/GL7d21.mtx,4,1,1.66418,0.678108,0.821079,0.946419,-0.161988,1.60551,2.26405
matrices/GL7d21.mtx,4,1,1.65986,0.668949,0.806952,0.930699,-0.157077,1.58057,2.29977
matrices/GL7d21.mtx,4,1,1.66301,0.670987,0.807775,0.903109,-0.144589,1.5663,2.32073
matrices/GL7d21.mtx,4,1,1.66024,0.67757,0.817734,0.929529,-0.161523,1.58574,2.29228
matrices/GL7d21.mtx,4,1,1.72271,0.735971,0.819538,0.918378,-0.157988,1.57993,2.30071
matrices/GL7d21.mtx,8,1,0.987141,0.372209,0.471567,0.240528,-0.0588002,0.653295,5.56403
matrices/GL7d21.mtx,8,1,0.98906,0.366489,0.481733,0.243236,-0.067622,0.657347,5.52974
matrices/GL7d21.mtx,8,1,0.981337,0.36803,0.482679,0.243,-0.0703356,0.655343,5.54665
matrices/GL7d21.mtx,8,1,0.987508,0.368314,0.483136,0.24146,-0.0716062,0.65299,5.56663
matrices/GL7d21.mtx,8,1,0.990521,0.377734,0.480046,0.241681,-0.0675966,0.65413,5.55693
matrices/GL7d21.mtx,16,1,0.647194,0.275815,0.398854,0.086178,-0.0314687,0.453563,8.01423
matrices/GL7d21.mtx,16,1,0.6492,0.275918,0.395615,0.086715,-0.0311864,0.451144,8.05719
matrices/GL7d21.mtx,16,1,0.65211,0.279608,0.395528,0.0873369,-0.0305231,0.452342,8.03586
matrices/GL7d21.mtx,16,1,0.646974,0.276327,0.392451,0.0869502,-0.0314071,0.447994,8.11385
