Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/engine.mtx,1,3,0.690772,0.898808,0.137156,0.769374,1.8395e-05,0.906548,0.534957
matrices/engine.mtx,1,3,0.678922,0.875906,0.137279,0.769113,2.0937e-05,0.906413,0.535037
matrices/engine.mtx,1,3,0.690943,0.856311,0.13599,0.768786,2.5072e-05,0.904801,0.53599
matrices/engine.mtx,1,3,0.677706,0.870276,0.134995,0.770562,2.5481e-05,0.905583,0.535527
matrices/engine.mtx,1,3,0.67687,0.895157,0.135278,0.77107,2.7201e-05,0.906375,0.535059
matrices/engine.mtx,2,3,0.361089,0.228129,0.0670756,0.193876,-1.1985e-05,0.26094,1.85853
matrices/engine.mtx,2,3,0.363015,0.221348,0.0665203,0.193449,-0.00051439,0.259455,1.86917
matrices/engine.mtx,2,3,0.357773,0.221361,0.0646018,0.19306,-0.000590541,0.257071,1.8865
matrices/engine.mtx,2,3,0.359378,0.220041,0.0667308,0.19359,-0.00015747,0.260163,1.86408
matrices/engine.mtx,2,3,0.356865,0.223781,0.0663132,0.19286,-0.000255694,0.258918,1.87304
matrices/engine.mtx,4,3,0.211815,0.0745312,0.058829,0.0541704,-0.00277424,0.110225,4.39976
matrices/engine.mtx,4,3,0.209112,0.0718258,0.058972,0.0540524,-0.00271443,0.11031,4.39638
matrices/engine.mtx,4,3,0.208279,0.083247,0.0588463,0.054193,-0.00295217,0.110087,4.40528
matrices/engine.mtx,4,3,0.214193,0.0744253,0.0600151,0.0545915,-0.00265562,0.111951,4.33193
matrices/engine.mtx,4,3,0.212003,0.0739581,0.0588342,0.0541687,-0.00277212,0.110231,4.39954
matrices/engine.mtx,8,3,0.125825,0.044679,0.0387958,0.0171764,-0.00162319,0.0543491,8.92314
matrices/engine.mtx,8,3,0.124935,0.0444183,0.0389563,0.0171973,-0.00169138,0.0544622,8.9046
matrices/engine.mtx,8,3,0.125176,0.0437514,0.0401192,0.01719,-0.00164886,0.0556603,8.71293
matrices/engine.mtx,8,3,0.128892,0.0428034,0.0392572,0.0171827,-0.0016682,0.0547717,8.85429
matrices/engine.mtx,8,3,0.132167,0.0438889,0.0390354,0.0172177,-0.00165357,0.0545996,8.8822
matrices/engine.mtx,16,3,0.083766,0.0353251,0.026368,0.00722825,-0.00106932,0.0325269,14.9096
matrices/engine.mtx,16,3,0.0828978,0.0362439,0.0264099,0.00730319,-0.00107152,0.0326416,14.8572
matrices/engine.mtx,16,3,0.0839701,0.0353006,0.0264505,0.00725083,-0.00113486,0.0325665,14.8915
matrices/engine.mtx,16,3,0.0840567,0.0352806,0.0263618,0.00724634,-0.0010514,0.0325567,14.896
matrices/engine.mtx,16,3,0.0834581,0.0350736,0.0261848,0.00727727,-0.0011442,0.0323179,15.0061
matrices/engine.mtx,32,3,0.112147,0.0871107,0.191157,0.00414839,-0.00320053,0.192105,2.52448
matrices/engine.mtx,32,3,0.0681461,0.0430907,0.192969,0.00413882,-0.00307035,0.194038,2.49933
matrices/engine.mtx,32,3,0.0676822,0.0431864,0.194463,0.00415928,-0.00324684,0.195376,2.48221
matrices/engine.mtx,32,3,0.0676996,0.0430466,0.192336,0.00409407,-0.00313626,0.193294,2.50895
matrices/engine.mtx,32,3,0.070107,0.0445378,0.195261,0.00410058,-0.0032242,0.196138,2.47257
matrices/engine.mtx,64,3,0.0772226,0.0602588,0.167023,0.00332189,-0.00299749,0.167347,2.89796
matrices/engine.mtx,64,3,0.0602355,0.0448273,0.166333,0.00330918,-0.00291881,0.166723,2.9088
