Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/engine.mtx,1,1,0.879923,0.257509,8.5427e-05,0.762848,4.8786e-05,0.762982,0.635617
matrices/engine.mtx,1,1,0.842516,0.256533,9.1229e-05,0.768002,5.1537e-05,0.768144,0.631345
matrices/engine.mtx,1,1,0.800061,0.25841,8.0687e-05,0.763581,5.7278e-05,0.763719,0.635004
matrices/engine.mtx,1,1,0.768801,0.257181,8.3161e-05,0.764859,3.1593e-05,0.764974,0.633962
matrices/engine.mtx,1,1,0.815472,0.256963,9.2374e-05,0.761059,4.5523e-05,0.761197,0.637108
matrices/engine.mtx,2,1,0.547528,0.213806,0.010414,0.381027,0.0161325,0.407574,1.18988
matrices/engine.mtx,2,1,0.454861,0.208523,0.0103805,0.38236,0.0142016,0.406942,1.19173
matrices/engine.mtx,2,1,0.452171,0.207796,0.0102067,0.382628,0.0143349,0.40717,1.19106
matrices/engine.mtx,2,1,0.460033,0.210114,0.0102323,0.38368,0.0142586,0.408171,1.18814
matrices/engine.mtx,2,1,0.463746,0.199053,0.010519,0.382298,0.0147623,0.40758,1.18986
matrices/engine.mtx,4,1,0.363483,0.150655,0.00947752,0.192241,0.0537402,0.255459,1.8984
matrices/engine.mtx,4,1,0.346583,0.146647,0.00959938,0.192854,0.0511068,0.25356,1.91262
matrices/engine.mtx,4,1,0.328686,0.146158,0.00980894,0.192802,0.0475341,0.250145,1.93874
matrices/engine.mtx,4,1,0.53014,0.149867,0.00963898,0.192998,0.0505102,0.253147,1.91574
matrices/engine.mtx,4,1,0.328657,0.148538,0.00963059,0.192746,0.047137,0.249513,1.94364
matrices/engine.mtx,8,1,0.313456,0.0724944,0.0106363,0.0970249,0.033734,0.141395,3.42985
matrices/engine.mtx,8,1,0.24256,0.0742714,0.0106715,0.0970951,0.0334758,0.141242,3.43356
matrices/engine.mtx,8,1,0.23846,0.0735074,0.0104964,0.0969713,0.031914,0.139382,3.4794
matrices/engine.mtx,8,1,0.256809,0.0727263,0.0105072,0.0969954,0.0327502,0.140253,3.45779
