Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/engine.mtx,1,3,0.937704,0.256925,0.00133836,0.766169,3.3021e-05,0.767541,0.631842
matrices/engine.mtx,1,3,0.809746,0.257783,0.00136681,0.765307,3.297e-05,0.766706,0.632529
matrices/engine.mtx,1,3,0.765954,0.255933,0.0013435,0.76299,3.4935e-05,0.764369,0.634464
matrices/engine.mtx,1,3,0.784056,0.257612,0.00134651,0.764761,3.2513e-05,0.76614,0.632997
matrices/engine.mtx,1,3,0.872003,0.257236,0.00135778,0.765021,4.6004e-05,0.766425,0.632762
matrices/engine.mtx,2,3,0.497652,0.212102,0.0124452,0.383903,0.0145864,0.410935,1.18015
matrices/engine.mtx,2,3,0.491875,0.212613,0.011783,0.384952,0.0141064,0.410842,1.18042
matrices/engine.mtx,2,3,0.466339,0.212556,0.0118583,0.385119,0.0149064,0.411884,1.17743
matrices/engine.mtx,2,3,0.451603,0.206876,0.01265,0.385066,0.0143176,0.412034,1.177
matrices/engine.mtx,2,3,0.461136,0.211919,0.0118422,0.385219,0.0141573,0.411218,1.17934
matrices/engine.mtx,4,3,0.402114,0.148064,0.0108946,0.194491,0.0469832,0.252369,1.92165
matrices/engine.mtx,4,3,0.374981,0.152215,0.0111054,0.195137,0.0436981,0.249941,1.94032
matrices/engine.mtx,4,3,0.332542,0.148354,0.0111126,0.194368,0.0493396,0.25482,1.90316
matrices/engine.mtx,4,3,0.336259,0.140822,0.0110941,0.198554,0.0431756,0.252824,1.91819
matrices/engine.mtx,4,3,0.412925,0.150546,0.0109691,0.194347,0.0472153,0.252531,1.92041
matrices/engine.mtx,8,3,0.441743,0.0720724,0.0118844,0.1012,0.0300292,0.143113,3.38867
matrices/engine.mtx,8,3,0.293943,0.0727342,0.0119334,0.1012,0.0326925,0.145826,3.32565
matrices/engine.mtx,8,3,0.242651,0.0741928,0.0120714,0.101195,0.0309218,0.144189,3.3634
matrices/engine.mtx,8,3,0.24666,0.0719122,0.0120705,0.101241,0.0303007,0.143612,3.3769
matrices/engine.mtx,8,3,0.262894,0.0736016,0.0120525,0.101178,0.0316024,0.144833,3.34845
matrices/engine.mtx,16,3,0.217277,0.0364353,0.015551,0.0518968,0.00170989,0.0691577,7.01244
matrices/engine.mtx,16,3,0.419054,0.0385809,0.0155544,0.0518808,0.00222583,0.069661,6.96178
matrices/engine.mtx,16,3,0.359717,0.0363164,0.0154555,0.0521006,0.00174695,0.0693031,6.99773
matrices/engine.mtx,16,3,0.375775,0.0372884,0.015525,0.0521165,0.00163062,0.0692722,7.00085
matrices/engine.mtx,16,3,0.200795,0.0363543,0.0154439,0.0536488,0.00679515,0.0758878,6.39055
matrices/engine.mtx,32,3,0.208077,0.023683,0.0193266,0.0295296,0.00328265,0.0521388,9.30141
matrices/engine.mtx,32,3,0.298735,0.0227295,0.0194763,0.0295517,0.00276769,0.0517957,9.36302
matrices/engine.mtx,32,3,0.227039,0.0196322,0.0193959,0.0295802,0.00308274,0.0520588,9.3157
matrices/engine.mtx,32,3,0.1792,0.0244973,0.0193512,0.0294972,0.00286651,0.0517149,9.37766
matrices/engine.mtx,32,3,0.257556,0.0250459,0.0194568,0.0295947,0.00295628,0.0520077,9.32485
matrices/engine.mtx,64,3,0.397199,0.0144289,0.0270862,0.0176943,0.0122486,0.0570291,8.5038
matrices/engine.mtx,64,3,0.356313,0.0145507,0.0271682,0.0186197,0.0125443,0.0583322,8.31384
matrices/engine.mtx,64,3,0.307325,0.0126821,0.0274892,0.0181933,0.0116177,0.0573002,8.46357
matrices/engine.mtx,64,3,0.346372,0.0127415,0.0273837,0.0176877,0.0137286,0.0588,8.24769
matrices/engine.mtx,64,3,0.29035,0.0140246,0.0274153,0.0173631,0.0141022,0.0588807,8.23639
matrices/engine.mtx,128,3,0.424477,0.0105477,0.0421328,0.012648,0.0284919,0.0832727,5.82381
matrices/engine.mtx,128,3,0.302883,0.011312,0.0410317,0.0119642,0.0288,0.0817959,5.92896
matrices/engine.mtx,128,3,0.323458,0.0114552,0.0435852,0.012896,0.0279262,0.0844074,5.74552
matrices/engine.mtx,128,3,0.345423,0.0136992,0.0418452,0.0120295,0.0276025,0.0814771,5.95215
matrices/engine.mtx,128,3,0.444819,0.0141893,0.0406979,0.0123667,0.0314326,0.0844972,5.73941
matrices/GL7d17.mtx,1,3,9.08484,3.49755,0.00140217,14.8439,5.0795e-05,14.8454,0.349982
matrices/GL7d17.mtx,1,3,8.80131,3.49216,0.00141636,15.859,6.3089e-05,15.8605,0.327582
matrices/GL7d17.mtx,1,3,8.88026,3.49377,0.00140718,14.7679,6.1184e-05,14.7694,0.351784
matrices/GL7d17.mtx,1,3,8.77753,3.49186,0.00143076,15.7068,5.8049e-05,15.7083,0.330756
matrices/GL7d17.mtx,1,3,8.70654,3.48985,0.00137326,14.6757,5.1087e-05,14.6771,0.353995
matrices/GL7d17.mtx,2,3,4.68024,3.66209,0.135784,7.95625,0.453005,8.54504,0.608028
matrices/GL7d17.mtx,2,3,4.87738,3.64452,0.13828,7.97345,0.445828,8.55755,0.607138
matrices/GL7d17.mtx,2,3,4.61745,3.67164,0.137461,7.92701,0.450455,8.51493,0.610178
matrices/GL7d17.mtx,2,3,4.63084,3.65526,0.139967,8.34517,0.440559,8.92569,0.582097
matrices/GL7d17.mtx,2,3,4.60843,3.67304,0.143089,7.98777,0.436078,8.56693,0.606474
matrices/GL7d17.mtx,4,3,3.59868,2.22206,0.174631,4.15007,0.396167,4.72087,1.10056
matrices/GL7d17.mtx,4,3,3.50891,2.21167,0.17729,4.31314,0.240697,4.73112,1.09818
matrices/GL7d17.mtx,4,3,3.62046,2.21549,0.181479,4.0912,0.377766,4.65045,1.11723
matrices/GL7d17.mtx,4,3,3.49054,2.2344,0.178118,4.03094,0.398542,4.6076,1.12762
matrices/GL7d17.mtx,4,3,3.5629,2.23158,0.175133,4.11168,0.403152,4.68997,1.10782
matrices/GL7d17.mtx,8,3,2.52957,1.18015,0.178266,1.92957,0.590149,2.69798,1.92574
matrices/GL7d17.mtx,8,3,2.56643,1.17314,0.172271,2.12733,0.322529,2.62213,1.98145
matrices/GL7d17.mtx,8,3,2.69388,1.18593,0.174014,1.98846,0.423393,2.58587,2.00923
matrices/GL7d17.mtx,8,3,2.53721,1.18001,0.174249,1.92489,0.506451,2.60559,1.99403
matrices/GL7d17.mtx,8,3,2.73598,1.18029,0.170802,1.94567,0.464523,2.581,2.01303
matrices/GL7d17.mtx,16,3,1.36926,0.653875,0.174178,1.09627,0.443745,1.71419,3.03095
matrices/GL7d17.mtx,16,3,1.29633,0.649764,0.168426,1.10638,0.416249,1.69105,3.07242
matrices/GL7d17.mtx,16,3,1.47515,0.652161,0.173951,1.09179,0.459015,1.72476,3.01237
matrices/GL7d17.mtx,16,3,1.4395,0.650881,0.169161,1.10981,0.452756,1.73172,3.00026
