Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/engine.mtx,1,1,0.849113,0.000229787,2.1549e-05,0.246291,1.2605e-05,0.246325,1.9688
matrices/engine.mtx,1,1,0.753531,0.000237544,2.9182e-05,0.245082,9.299e-06,0.24512,1.97847
matrices/engine.mtx,1,1,0.770119,0.000219865,1.7036e-05,0.240946,1.0595e-05,0.240974,2.01252
matrices/engine.mtx,1,1,0.749526,0.00022623,1.9166e-05,0.240194,1.3224e-05,0.240226,2.01878
matrices/engine.mtx,1,1,0.74873,0.000229164,1.5156e-05,0.239604,1.8479e-05,0.239638,2.02374
matrices/engine.mtx,2,1,0.748442,0.000761866,0.122567,0.182716,-0.109721,0.195562,2.47985
matrices/engine.mtx,2,1,0.750633,0.000817054,0.116438,0.176199,-0.103878,0.18876,2.56922
matrices/engine.mtx,2,1,0.750453,0.00075994,0.11535,0.174176,-0.102692,0.186834,2.59569
matrices/engine.mtx,2,1,0.751199,0.000760892,0.115811,0.174784,-0.103289,0.187306,2.58916
matrices/engine.mtx,2,1,0.755809,0.000755752,0.115564,0.174967,-0.103532,0.186999,2.5934
matrices/engine.mtx,4,1,0.799435,0.000668457,0.130554,0.13979,-0.109846,0.160498,3.02162
matrices/engine.mtx,4,1,0.797367,0.000666485,0.128505,0.139204,-0.109133,0.158575,3.05827
matrices/engine.mtx,4,1,0.791407,0.000667545,0.131129,0.141251,-0.111425,0.160956,3.01303
matrices/engine.mtx,4,1,0.789328,0.00067177,0.129267,0.139611,-0.109547,0.159332,3.04374
matrices/engine.mtx,4,1,0.788948,0.000664778,0.12912,0.139952,-0.109762,0.159309,3.04417
matrices/engine.mtx,8,1,0.807448,0.000636347,0.139112,0.127331,-0.114984,0.151458,3.20196
matrices/engine.mtx,8,1,0.856933,0.000629444,0.137935,0.126522,-0.114277,0.15018,3.22923
matrices/engine.mtx,8,1,0.803595,0.000625218,0.13732,0.1263,-0.113967,0.149652,3.24062
matrices/engine.mtx,8,1,0.807158,0.000626904,0.13759,0.126396,-0.114123,0.149862,3.23607
matrices/engine.mtx,8,1,0.806628,0.000629928,0.13754,0.126131,-0.114042,0.149629,3.24112
matrices/engine.mtx,16,1,0.805759,0.000672273,0.113152,0.0930277,-0.0849297,0.12125,3.9997
matrices/engine.mtx,16,1,0.809526,0.000629211,0.113625,0.0933421,-0.085359,0.121609,3.98791
matrices/engine.mtx,16,1,0.804104,0.000633902,0.112694,0.0924077,-0.0845337,0.120568,4.02234
matrices/engine.mtx,16,1,0.843921,0.00063353,0.112374,0.0922745,-0.0843412,0.120307,4.03105
matrices/engine.mtx,16,1,0.843146,0.000638928,0.112362,0.0920146,-0.084024,0.120353,4.02952
matrices/engine.mtx,32,1,0.874465,0.000777094,0.127419,0.0373974,-0.0342081,0.130608,3.71313
matrices/engine.mtx,32,1,0.880122,0.000770134,0.0999016,0.0375076,-0.034161,0.103248,4.69707
matrices/engine.mtx,32,1,0.875198,0.000752058,0.0998835,0.0374573,-0.0341023,0.103238,4.69752
matrices/engine.mtx,32,1,0.877417,0.000773649,0.127776,0.0375133,-0.0343406,0.130949,3.70346
matrices/engine.mtx,32,1,0.878062,0.000746905,0.127553,0.037382,-0.0341568,0.130779,3.70828
matrices/engine.mtx,64,1,1.17918,0.00110111,0.140897,0.0110504,-0.00946531,0.142483,3.40368
matrices/engine.mtx,64,1,1.17918,0.000958175,0.143272,0.0110862,-0.00940494,0.144953,3.34567
matrices/engine.mtx,64,1,1.17939,0.00106294,0.145901,0.0109508,-0.00923321,0.147619,3.28525
matrices/engine.mtx,64,1,1.17916,0.00109071,0.143815,0.0111051,-0.00940514,0.145515,3.33275
matrices/engine.mtx,64,1,1.18939,0.000987017,0.14601,0.0110354,-0.00933613,0.147709,3.28324
matrices/engine.mtx,128,1,0.947178,0.000977988,0.329814,0.0113006,-0.0105155,0.330599,1.46693
matrices/engine.mtx,128,1,0.958002,0.00102091,0.341119,0.0112568,-0.010445,0.341931,1.41831
matrices/engine.mtx,128,1,0.93826,0.0010012,0.335346,0.0100101,-0.00919774,0.336158,1.44267
matrices/engine.mtx,128,1,0.946133,0.00103072,0.324032,0.0102066,-0.0093721,0.324867,1.49281
matrices/engine.mtx,128,1,0.937959,0.00103066,0.322452,0.0100905,-0.00925754,0.323285,1.50011
matrices/GL7d17.mtx,1,1,12.4211,0.00217662,7.0767e-05,11.267,3.0469e-05,11.2671,0.461133
matrices/GL7d17.mtx,1,1,12.258,0.00221841,3.3853e-05,11.2707,3.3473e-05,11.2708,0.460981
matrices/GL7d17.mtx,1,1,12.2173,0.00219916,3.9359e-05,11.2572,3.2637e-05,11.2573,0.461535
matrices/GL7d17.mtx,1,1,12.24,0.00219987,5.1762e-05,11.2459,2.9104e-05,11.246,0.461999
matrices/GL7d17.mtx,1,1,12.202,0.00218314,5.5599e-05,11.2303,3.0059e-05,11.2304,0.462639
matrices/GL7d17.mtx,2,1,12.1866,0.00397173,0.609734,6.02073,-0.514579,6.11589,0.849528
matrices/GL7d17.mtx,2,1,13.0759,0.00398521,0.601795,5.99022,-0.506685,6.08533,0.853794
matrices/GL7d17.mtx,2,1,12.1628,0.0039486,0.609261,6.01106,-0.514833,6.10549,0.850975
matrices/GL7d17.mtx,2,1,12.2303,0.00396762,0.607928,6.00043,-0.51312,6.09524,0.852406
matrices/GL7d17.mtx,2,1,12.1644,0.00394647,0.617611,5.96504,-0.522457,6.06019,0.857336
matrices/GL7d17.mtx,4,1,12.6591,0.00357643,0.775277,3.26844,-0.636189,3.40753,1.52475
matrices/GL7d17.mtx,4,1,12.6168,0.00356667,0.803871,3.30311,-0.664922,3.44206,1.50945
matrices/GL7d17.mtx,4,1,12.6275,0.00355839,0.820967,3.28494,-0.681425,3.42449,1.5172
matrices/GL7d17.mtx,4,1,12.6375,0.00358233,0.81403,3.2803,-0.669384,3.42494,1.51699
matrices/GL7d17.mtx,4,1,12.6357,0.00357086,0.776067,3.26205,-0.637083,3.40103,1.52766
matrices/GL7d17.mtx,8,1,12.828,0.00346163,1.31582,2.49162,-1.11431,2.69313,1.92921
matrices/GL7d17.mtx,8,1,12.8559,0.00350784,1.17876,2.35041,-0.973988,2.55518,2.03337
matrices/GL7d17.mtx,8,1,12.8701,0.00361607,1.24261,2.41027,-1.03296,2.61992,1.98312
matrices/GL7d17.mtx,8,1,12.8617,0.0036646,1.22102,2.40002,-1.0077,2.61333,1.98812
matrices/GL7d17.mtx,8,1,12.8896,0.00354488,1.23526,2.39423,-1.02998,2.59951,1.99869
matrices/GL7d17.mtx,16,1,12.8782,0.00535003,1.42807,2.05961,-1.16335,2.32433,2.23532
matrices/GL7d17.mtx,16,1,12.9603,0.00540069,1.49666,2.18977,-1.2112,2.47523,2.09904
matrices/GL7d17.mtx,16,1,12.8654,0.00498362,1.44741,2.0782,-1.17402,2.3516,2.2094
matrices/GL7d17.mtx,16,1,12.891,0.00508785,1.39957,2.0351,-1.13425,2.30042,2.25856
matrices/GL7d17.mtx,16,1,12.9373,0.00564428,1.45852,2.09218,-1.17948,2.37122,2.19112
matrices/GL7d17.mtx,32,1,14.0772,0.00814499,1.70886,1.7018,-1.18758,2.22308,2.33713
matrices/GL7d17.mtx,32,1,14.1223,0.00761771,1.46819,1.47459,-0.955183,1.98759,2.61403
matrices/GL7d17.mtx,32,1,14.146,0.0080032,1.59698,1.60574,-1.08357,2.11915,2.45175
matrices/GL7d17.mtx,32,1,14.1445,0.0076703,1.61822,1.64439,-1.12029,2.14232,2.42523
matrices/GL7d17.mtx,32,1,14.1343,0.00746425,1.56492,1.59246,-1.06883,2.08855,2.48767
matrices/GL7d17.mtx,64,1,14.516,0.0072694,1.56318,0.739913,-0.654034,1.64906,3.15065
