Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/engine.mtx,1,3,0.752223,0.00023012,1.4188e-05,0.250234,1.3045e-05,0.250261,1.93783
matrices/engine.mtx,1,3,0.748313,0.000222536,1.6453e-05,0.244854,1.1306e-05,0.244882,1.9804
matrices/engine.mtx,1,3,0.754415,0.00022491,1.7737e-05,0.248193,1.6257e-05,0.248227,1.95371
matrices/engine.mtx,1,3,0.751787,0.000246516,1.455e-05,0.242634,1.3568e-05,0.242662,1.99852
matrices/engine.mtx,1,3,0.754307,0.000225708,1.2583e-05,0.242835,9.989e-06,0.242858,1.99691
matrices/engine.mtx,2,3,0.752237,0.000780639,0.118297,0.179613,-0.105299,0.192611,2.51785
matrices/engine.mtx,2,3,0.750907,0.000771863,0.115052,0.176661,-0.102387,0.189325,2.56154
matrices/engine.mtx,2,3,0.751069,0.000756678,0.115683,0.177104,-0.103262,0.189525,2.55885
matrices/engine.mtx,2,3,0.750568,0.000765685,0.12192,0.183633,-0.10924,0.196313,2.47037
matrices/engine.mtx,2,3,0.74867,0.000769283,0.119722,0.180304,-0.10613,0.193896,2.50115
matrices/engine.mtx,4,3,0.784907,0.000675693,0.130936,0.143389,-0.111219,0.163106,2.9733
matrices/engine.mtx,4,3,0.786665,0.000667331,0.129893,0.142352,-0.110175,0.162069,2.99232
matrices/engine.mtx,4,3,0.800251,0.000684742,0.131691,0.144393,-0.111663,0.16442,2.94955
matrices/engine.mtx,4,3,0.789986,0.000691191,0.132367,0.144375,-0.11205,0.164693,2.94466
matrices/engine.mtx,4,3,0.789342,0.000667993,0.130581,0.142816,-0.110864,0.162533,2.9838
matrices/engine.mtx,8,3,0.808593,0.000632425,0.140622,0.130487,-0.116127,0.154981,3.12918
matrices/engine.mtx,8,3,0.808764,0.000633992,0.141141,0.131029,-0.116637,0.155534,3.11805
matrices/engine.mtx,8,3,0.807571,0.000632941,0.140699,0.130344,-0.115947,0.155096,3.12686
matrices/engine.mtx,8,3,0.805897,0.000628465,0.141073,0.131061,-0.116558,0.155576,3.11723
matrices/engine.mtx,8,3,0.805543,0.000632849,0.141559,0.13142,-0.117019,0.155959,3.10957
matrices/engine.mtx,16,3,0.805524,0.000632687,0.114869,0.0955044,-0.0859822,0.124391,3.89872
matrices/engine.mtx,16,3,0.804677,0.000636394,0.116571,0.0968977,-0.0873795,0.126089,3.84621
matrices/engine.mtx,16,3,0.804623,0.000638204,0.115356,0.095812,-0.0861864,0.124982,3.88028
matrices/engine.mtx,16,3,0.80645,0.000630478,0.115853,0.0962717,-0.0867583,0.125366,3.86838
matrices/engine.mtx,16,3,0.805805,0.000635202,0.116594,0.0967924,-0.0873792,0.126007,3.8487
matrices/engine.mtx,32,3,0.842322,0.00102673,0.102873,0.0424545,-0.0381894,0.107138,4.52653
matrices/engine.mtx,32,3,0.852658,0.000837522,0.102698,0.0421649,-0.0378468,0.107016,4.53171
matrices/engine.mtx,32,3,0.842442,0.00102256,0.102858,0.0423104,-0.0379411,0.107227,4.52279
matrices/engine.mtx,32,3,0.853167,0.000851829,0.103578,0.0424988,-0.0380091,0.108067,4.48762
matrices/engine.mtx,32,3,0.841881,0.000931232,0.103401,0.042498,-0.0381439,0.107755,4.5006
matrices/engine.mtx,64,3,1.27705,0.000713599,0.140395,0.0200396,-0.0178235,0.142611,3.4006
matrices/engine.mtx,64,3,1.27749,0.00080029,0.140949,0.0199383,-0.0177693,0.143118,3.38856
matrices/engine.mtx,64,3,1.27719,0.000819827,0.141246,0.0201036,-0.0177366,0.143613,3.37689
matrices/engine.mtx,64,3,1.26682,0.000914556,0.136877,0.0203506,-0.0181391,0.139089,3.48673
matrices/engine.mtx,64,3,1.28743,0.000817936,0.147429,0.0198852,-0.0177238,0.14959,3.24195
matrices/engine.mtx,128,3,0.891869,0.000707355,0.364371,0.01003,-0.0076608,0.366741,1.32236
matrices/engine.mtx,128,3,0.882035,0.000764873,0.3611,0.00999352,-0.00763422,0.363459,1.3343
matrices/engine.mtx,128,3,0.892309,0.00078379,0.360788,0.00999989,-0.00777296,0.363015,1.33593
matrices/engine.mtx,128,3,0.891219,0.000714026,0.360245,0.010108,-0.00775667,0.362596,1.33748
matrices/engine.mtx,128,3,0.882509,0.00074413,0.373282,0.00993618,-0.00771032,0.375508,1.29149
matrices/GL7d17.mtx,1,3,12.2648,0.00220449,3.8013e-05,11.2011,3.2663e-05,11.2012,0.463847
matrices/GL7d17.mtx,1,3,12.3242,0.00219096,4.4575e-05,11.1506,3.7488e-05,11.1507,0.465946
matrices/GL7d17.mtx,1,3,12.2944,0.00224999,3.1851e-05,11.2379,2.6782e-05,11.238,0.462327
matrices/GL7d17.mtx,1,3,12.2533,0.00221526,3.4599e-05,11.2259,3.4271e-05,11.226,0.462822
matrices/GL7d17.mtx,1,3,12.2439,0.00222751,2.9058e-05,11.1884,3.1662e-05,11.1884,0.464375
matrices/GL7d17.mtx,2,3,12.1902,0.00439792,0.677675,6.10686,-0.583334,6.2012,0.83784
matrices/GL7d17.mtx,2,3,12.1954,0.00443407,0.647581,6.08827,-0.553028,6.18282,0.840332
matrices/GL7d17.mtx,2,3,12.3139,0.00442404,0.685651,6.08198,-0.590742,6.17689,0.841139
matrices/GL7d17.mtx,2,3,12.2723,0.00401172,0.664375,6.09918,-0.561943,6.20161,0.837785
matrices/GL7d17.mtx,2,3,12.2153,0.00438282,0.636975,6.04564,-0.540279,6.14234,0.84587
matrices/GL7d17.mtx,4,3,12.6666,0.00356824,0.806857,3.39504,-0.663205,3.53869,1.46823
matrices/GL7d17.mtx,4,3,12.6549,0.00358298,0.748608,3.29193,-0.60652,3.43401,1.51299
matrices/GL7d17.mtx,4,3,12.6552,0.00356945,0.81944,3.35553,-0.676395,3.49858,1.48507
matrices/GL7d17.mtx,4,3,12.6861,0.00356651,0.757858,3.29617,-0.617417,3.43661,1.51184
matrices/GL7d17.mtx,4,3,12.6705,0.00357069,0.7575,3.32531,-0.615039,3.46777,1.49826
matrices/GL7d17.mtx,8,3,12.9399,0.00354582,1.18334,2.37475,-0.974068,2.58403,2.01067
matrices/GL7d17.mtx,8,3,12.9341,0.00348403,1.20727,2.42284,-0.999681,2.63042,1.9752
matrices/GL7d17.mtx,8,3,12.8871,0.0035262,1.18997,2.37206,-0.983432,2.57859,2.01491
matrices/GL7d17.mtx,8,3,12.8882,0.003499,1.20681,2.41347,-0.996729,2.62355,1.98038
matrices/GL7d17.mtx,8,3,12.9916,0.00356879,1.14862,2.32723,-0.941561,2.53428,2.05014
