Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.367599,0.00249521,6.8024e-05,0.0395068,2.7359e-05,0.0396022,0.505022
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.125145,0.00242061,6.6553e-05,0.039048,2.3532e-05,0.0391381,0.511011
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.084793,0.00233962,5.918e-05,0.0391454,2.2833e-05,0.0392274,0.509848
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.100635,0.00237988,6.3647e-05,0.039005,2.4329e-05,0.039093,0.5116
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.122428,0.0024916,6.1511e-05,0.0391555,2.6202e-05,0.0392432,0.509642
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.613663,0.0310286,6.934e-05,0.325946,2.8388e-05,0.326043,0.613415
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.483281,0.0309948,6.5508e-05,0.329723,2.9031e-05,0.329817,0.606396
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.494035,0.031155,6.4628e-05,0.325742,2.8535e-05,0.325835,0.613808
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.485471,0.0310037,6.8365e-05,0.32559,3.1424e-05,0.325689,0.614082
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.491768,0.0313034,6.6423e-05,0.325887,3.1519e-05,0.325985,0.613524
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0796627,0.00130561,5.0933e-05,0.0170365,1.9617e-05,0.0171071,0.579877
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0404213,0.00129746,4.8916e-05,0.0171307,1.6976e-05,0.0171966,0.576859
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0497365,0.00129006,4.9165e-05,0.0170379,1.9255e-05,0.0171064,0.579901
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0486194,0.00131035,5.1272e-05,0.0170637,1.7533e-05,0.0171325,0.579016
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0383056,0.00126945,5.2933e-05,0.0170042,1.643e-05,0.0170736,0.581015
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.213084,0.00662685,5.575e-05,0.0644003,2.1333e-05,0.0644774,0.620373
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.115447,0.00640384,5.3877e-05,0.0642741,1.9861e-05,0.0643478,0.621622
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.199532,0.00630678,5.3074e-05,0.0643977,1.9639e-05,0.0644704,0.62044
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.138247,0.0063412,5.9272e-05,0.0642935,2.0629e-05,0.0643734,0.621375
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.136188,0.00661693,5.611e-05,0.0643512,2.7821e-05,0.0644351,0.620779
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.254388,0.00270059,7.8386e-05,0.0400357,1.9169e-05,0.0401332,0.99668
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.102246,0.00245487,6.0988e-05,0.0390454,2.3186e-05,0.0391295,1.02225
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.124675,0.00241639,6.8405e-05,0.039464,2.5262e-05,0.0395577,1.01118
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.119985,0.00246839,6.169e-05,0.0393662,2.485e-05,0.0394528,1.01387
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.14548,0.0024021,6.0597e-05,0.0393331,2.4505e-05,0.0394182,1.01476
matrices/matrices_weak_rand/weak_rand_p2.mtx,2,1,0.691217,0.145408,0.0050407,0.31482,0.00926984,0.329131,1.21532
matrices/matrices_weak_rand/weak_rand_p2.mtx,2,1,0.535473,0.143832,0.00503939,0.31508,0.00969361,0.329813,1.21281
matrices/matrices_weak_rand/weak_rand_p2.mtx,2,1,0.532667,0.143796,0.00523769,0.315206,0.0100749,0.330519,1.21022
matrices/matrices_weak_rand/weak_rand_p2.mtx,2,1,0.55066,0.144615,0.00505375,0.315991,0.0099027,0.330948,1.20865
matrices/matrices_weak_rand/weak_rand_p2.mtx,2,1,0.539329,0.144322,0.00514408,0.315736,0.00999124,0.330871,1.20893
matrices/matrices_weak_stencil/weak_stencil_p2.mtx,2,1,0.0641784,0.00164418,0.000130427,0.0170681,0.000109044,0.0173075,1.14902
matrices/matrices_weak_stencil/weak_stencil_p2.mtx,2,1,0.0572507,0.00165569,0.000122915,0.0170806,0.000108372,0.0173119,1.14874
matrices/matrices_weak_stencil/weak_stencil_p2.mtx,2,1,0.0412236,0.00164055,0.000130484,0.0171589,0.000131074,0.0174204,1.14158
matrices/matrices_weak_stencil/weak_stencil_p2.mtx,2,1,0.0614588,0.00165895,0.000121822,0.0172805,0.000107606,0.0175099,1.13574
matrices/matrices_weak_stencil/weak_stencil_p2.mtx,2,1,0.0539113,0.00165293,0.000133672,0.017169,0.000132247,0.017435,1.14063
matrices/matrices_weak_banded/weak_banded_p2.mtx,2,1,0.20524,0.0077182,0.000177952,0.0645596,0.000136954,0.0648745,1.23315
matrices/matrices_weak_banded/weak_banded_p2.mtx,2,1,0.177314,0.00737763,0.000185989,0.0643167,0.000102975,0.0646056,1.23828
matrices/matrices_weak_banded/weak_banded_p2.mtx,2,1,0.189572,0.00775821,0.000156628,0.0644025,0.000139291,0.0646985,1.23651
matrices/matrices_weak_banded/weak_banded_p2.mtx,2,1,0.173725,0.00741278,0.000158342,0.0643757,0.000132079,0.0646661,1.23712
matrices/matrices_weak_banded/weak_banded_p2.mtx,2,1,0.226235,0.00764134,0.000180378,0.0645579,0.000142157,0.0648805,1.23304
matrices/matrices_weak_diag/weak_diag_p4.mtx,4,1,0.258302,0.0029385,6.9907e-05,0.0412775,1.7919e-05,0.0413653,1.93399
matrices/matrices_weak_diag/weak_diag_p4.mtx,4,1,0.197815,0.00293371,7.1682e-05,0.0412395,2.4832e-05,0.041336,1.93536
matrices/matrices_weak_diag/weak_diag_p4.mtx,4,1,0.203276,0.00302913,7.138e-05,0.0413365,1.819e-05,0.0414261,1.93115
matrices/matrices_weak_diag/weak_diag_p4.mtx,4,1,0.182766,0.00293262,6.7641e-05,0.0414941,2.0803e-05,0.0415826,1.92388
matrices/matrices_weak_diag/weak_diag_p4.mtx,4,1,0.166665,0.00287835,6.7014e-05,0.0413641,2.4952e-05,0.0414561,1.92975
matrices/matrices_weak_rand/weak_rand_p4.mtx,4,1,0.945963,0.30523,0.0199343,0.446534,0.0275082,0.493977,1.61951
matrices/matrices_weak_rand/weak_rand_p4.mtx,4,1,0.707361,0.307021,0.018474,0.446244,0.0309231,0.495641,1.61407
matrices/matrices_weak_rand/weak_rand_p4.mtx,4,1,0.689651,0.30378,0.0202966,0.439779,0.0305149,0.490591,1.63069
matrices/matrices_weak_rand/weak_rand_p4.mtx,4,1,0.781903,0.304251,0.0198272,0.450803,0.0270291,0.49766,1.60752
matrices/matrices_weak_rand/weak_rand_p4.mtx,4,1,0.754168,0.30423,0.0197242,0.446938,0.0302329,0.496895,1.61
matrices/matrices_weak_stencil/weak_stencil_p4.mtx,4,1,0.155415,0.00183462,0.000189063,0.018087,0.000143395,0.0184194,2.16293
matrices/matrices_weak_stencil/weak_stencil_p4.mtx,4,1,0.111658,0.00182429,0.000192566,0.018171,0.000161159,0.0185247,2.15064
matrices/matrices_weak_stencil/weak_stencil_p4.mtx,4,1,0.085748,0.00183776,0.000195862,0.0180879,0.000144291,0.0184281,2.16192
matrices/matrices_weak_stencil/weak_stencil_p4.mtx,4,1,0.0835341,0.00182934,0.000194736,0.0181487,0.000154166,0.0184976,2.15379
matrices/matrices_weak_stencil/weak_stencil_p4.mtx,4,1,0.0866914,0.00182174,0.000189511,0.0181483,0.000157621,0.0184955,2.15404
matrices/matrices_weak_banded/weak_banded_p4.mtx,4,1,0.474689,0.00730743,0.000226035,0.0682403,0.000190366,0.0686567,2.33044
matrices/matrices_weak_banded/weak_banded_p4.mtx,4,1,0.320232,0.0072784,0.000220674,0.0681401,0.000184993,0.0685457,2.33421
matrices/matrices_weak_banded/weak_banded_p4.mtx,4,1,0.281636,0.0072572,0.000247956,0.0682869,0.000191196,0.068726,2.32808
matrices/matrices_weak_banded/weak_banded_p4.mtx,4,1,0.272552,0.00734793,0.000201622,0.0683512,0.000200149,0.068753,2.32717
matrices/matrices_weak_banded/weak_banded_p4.mtx,4,1,0.317358,0.00716661,0.000231607,0.0682412,0.000163196,0.068636,2.33114
