Matrix,Procs,Threads,MAX_IO,MAX_Setup,MAX_Comm,MAX_Calc,Imbalance_Sec,Total_Loop_Sec,GFLOPS
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.158033,0.000117936,1.5229e-05,0.0187408,1.0518e-05,0.0187666,1.06573
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.0491563,6.8146e-05,1.0371e-05,0.0145291,7.026e-06,0.0145465,1.3749
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.0678901,7.9665e-05,1.0447e-05,0.0147429,7.079e-06,0.0147604,1.35497
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.0471641,9.1974e-05,1.1043e-05,0.0149662,7.387e-06,0.0149846,1.33471
matrices/matrices_weak_diag/weak_diag_p1.mtx,1,1,0.0510076,8.2415e-05,1.11e-05,0.0146548,7.248e-06,0.0146732,1.36303
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.510982,6.9956e-05,1.0142e-05,0.0954427,9.532e-06,0.0954624,2.09507
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.408342,7.3203e-05,1.4407e-05,0.0971005,7.686e-06,0.0971226,2.05925
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.406437,8.115e-05,1.0896e-05,0.095775,7.763e-06,0.0957937,2.08782
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.407088,8.3199e-05,1.3282e-05,0.0932788,1.5611e-05,0.0933077,2.14344
matrices/matrices_weak_rand/weak_rand_p1.mtx,1,1,0.422876,7.1401e-05,1.3163e-05,0.0931406,7.314e-06,0.0931611,2.14682
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0658279,1.3923e-05,8.209e-06,0.00376338,5.456e-06,0.00377704,2.62639
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0271954,1.3297e-05,6.254e-06,0.00374445,3.516e-06,0.00375422,2.64236
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0195635,1.0143e-05,5.242e-06,0.00373761,3.448e-06,0.0037463,2.64795
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.02259,1.3276e-05,4.98e-06,0.00375839,3.46e-06,0.00376683,2.63352
matrices/matrices_weak_stencil/weak_stencil_p1.mtx,1,1,0.0198763,1.3298e-05,9.397e-06,0.00385209,6.117e-06,0.0038676,2.5649
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.13912,1.5187e-05,9.736e-06,0.0149685,6.399e-06,0.0149846,2.6694
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.0855114,1.571e-05,9.698e-06,0.0149804,6.739e-06,0.0149969,2.66722
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.0804386,1.5256e-05,9.547e-06,0.0149957,7.923e-06,0.0150132,2.66433
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.0804288,1.2496e-05,1.0588e-05,0.014984,7.882e-06,0.0150025,2.66622
matrices/matrices_weak_banded/weak_banded_p1.mtx,1,1,0.0847368,1.7028e-05,1.0382e-05,0.0151846,8.532e-06,0.0152035,2.63097
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.324816,0.00106369,0.0160298,0.0148195,-0.00047194,0.0303774,1.31677
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.096249,0.00106294,0.0161007,0.014821,-0.000463652,0.0304581,1.31328
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.0964539,0.00106091,0.016766,0.0154849,-0.000683342,0.0315676,1.26712
matrices/matrices_weak_diag/weak_diag_p2.mtx,2,1,0.0942285,0.00106118,0.0160208,0.0148598,-0.000329214,0.0305514,1.30927
